Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
FHN,"First Horizon Corp",11.02,0.03,+0.27%,11.26,11,5200700,2023-09-29
PEP,"Pepsico Inc",169.44,-0.06,-0.04%,170.84,168.04,5194200,2023-09-29
GPS,"Gap Inc",10.63,0.05,+0.47%,10.9,10.61,5183300,2023-09-29
BA,"Boeing Company",191.68,1.25,+0.66%,192.95,190.17,5158300,2023-09-29
ABT,"Abbott Laboratories",96.85,-1.27,-1.29%,98.51,96.48,5150500,2023-09-29
DISH,"Dish Network Corp",5.86,-0.05,-0.85%,6.04,5.82,5146300,2023-09-29
RNAZ,"Transcode Therapeutics Inc",0.5027,-0.0726,-12.62%,0.5701,0.4999,5144200,2023-09-29
NWL,"Newell Rubbermaid Inc",9.03,0.33,+3.79%,9.16,8.81,5137300,2023-09-29
MNST,"Monster Beverage Cp",52.95,-0.21,-0.40%,53.6,52.76,5133600,2023-09-29
BX,"Blackstone Inc",107.14,-1.09,-1.01%,109.78,106.79,5117200,2023-09-29
X,"United States Steel Corp",32.48,0.23,+0.71%,32.68,32.37,5106000,2023-09-29
TOST,"Toast Inc Cl A",18.73,0.13,+0.70%,19.32,18.59,5079900,2023-09-29
CUK,"Carnival Plc ADR",12.25,-0.66,-5.11%,13.55,11.86,5075100,2023-09-29
KMX,"Carmax Inc",70.73,1.72,+2.49%,72.44,68.73,5053300,2023-09-29
CORT,"Corcept Therapeutics",27.25,-5.75,-17.41%,32.74,25.15,5046700,2023-09-29
LESL,"Leslie's Inc",5.66,0.17,+3.10%,5.76,5.47,5042100,2023-09-29
UPS,"United Parcel Service",155.87,0.37,+0.24%,157.33,155.06,5034500,2023-09-29
ENB,"Enbridge Inc",33.19,-0.35,-1.04%,33.85,33.16,5026500,2023-09-29
FTI,"Technipfmc Plc",20.34,-0.6,-2.87%,20.81,20.27,5004800,2023-09-29
CTRA,"Coterra Energy Inc",27.05,-0.48,-1.74%,27.6,27.01,4998800,2023-09-29
PEAK,"Healthpeak Properties Inc",18.36,0.3,+1.66%,18.66,18.24,4980800,2023-09-29
NAT,"Nordic American Tanker Shipping Ltd",4.12,0.07,+1.73%,4.12,4.03,4960300,2023-09-29
BRK.B,"Berkshire Hathaway Cl B",350.3,-6.76,-1.89%,357.5,348.55,4935600,2023-09-29
SO,"Southern Company",64.72,-0.35,-0.54%,65.9,64.36,4928500,2023-09-29
SYF,"Synchrony Financial",30.57,-0.3,-0.97%,31.08,30.34,4908800,2023-09-29
ARDX,"Ardelyx Inc",4.08,0.04,+0.99%,4.11,3.97,4895000,2023-09-29
KIM,"Kimco Realty Corp",17.59,-0.04,-0.23%,18.01,17.47,4894800,2023-09-29
QCOM,"Qualcomm Inc",111.06,-0.04,-0.04%,112.23,110.64,4869200,2023-09-29
LLAP,"Terran Orbital Corp",0.8324,-0.0162,-1.91%,0.8933,0.8263,4857900,2023-09-29
CX,"Cemex S.A.B. DE C.V. ADR",6.5,-0.13,-1.96%,6.78,6.49,4856000,2023-09-29
VST,"Vistra Energy Corp",33.18,-0.25,-0.75%,33.84,32.83,4839800,2023-09-29
GERN,"Geron Corp",2.12,0.01,+0.47%,2.15,2.09,4811000,2023-09-29
S,"Sentinelone Inc Cl A",16.86,0.52,+3.18%,17.02,16.58,4810700,2023-09-29
PGY,"Pagaya Technologies Ltd Cl A",1.58,0,0.00%,1.62,1.53,4807400,2023-09-29
EBAY,"Ebay Inc",44.09,0.44,+1.01%,44.6,43.91,4798600,2023-09-29
ABCM,"Abcam Plc ADR",22.63,-0.02,-0.09%,22.76,22.61,4791800,2023-09-29
CFG,"Citizens Financial Group Inc/Ri",26.8,0.45,+1.71%,27.32,26.58,4785200,2023-09-29
ABNB,"Airbnb Inc Cl A",137.21,0.74,+0.54%,141.07,136.36,4782000,2023-09-29
TGT,"Target Corp",110.57,1.01,+0.92%,111.65,109.88,4738100,2023-09-29
VFS,"Vinfast Auto Ltd",12.5,-0.06,-0.48%,13.61,12,4667300,2023-09-29
FTNT,"Fortinet Inc",58.68,0.08,+0.14%,59.67,58.35,4665200,2023-09-29
UMC,"United Microelectronics Corp ADR",7.06,-0.01,-0.14%,7.15,7.04,4630500,2023-09-29
HOOD,"Robinhood Markets Inc Cl A",9.81,0.13,+1.34%,10.01,9.69,4609700,2023-09-29
LI,"Li Auto Inc ADR",35.65,1.12,+3.24%,35.74,35.19,4596800,2023-09-29
QRTEA,"Qurate Retail Inc Series A",0.6066,0.0267,+4.60%,0.6298,0.5818,4566700,2023-09-29
LVS,"Las Vegas Sands",45.84,0.29,+0.64%,47.25,45.74,4562900,2023-09-29
PLNT,"Planet Fitness",49.18,2.23,+4.75%,49.88,47.24,4534800,2023-09-29
FE,"Firstenergy Corp",34.18,-0.39,-1.13%,35.1,34.01,4533300,2023-09-29
EQRX,"Eqrx Inc",2.22,-0.02,-0.89%,2.26,2.21,4529100,2023-09-29
VRT,"Vertiv Holdings Llc.",37.2,0.2,+0.54%,38.71,37.12,4526700,2023-09-29
PAA,"Plains All American Pipeline LP",15.32,-0.09,-0.58%,15.54,15.3,4525600,2023-09-29
NLY,"Annaly Capital Management Inc",18.81,0.07,+0.37%,19.18,18.81,4519300,2023-09-29
GEO,"Geo Group Inc",8.18,0.27,+3.41%,8.45,8.01,4490200,2023-09-29
HBM,"Hudbay Minerals Inc",4.87,0.16,+3.40%,4.88,4.75,4451500,2023-09-29
AMAT,"Applied Materials",138.45,0.23,+0.17%,141.56,138.07,4448200,2023-09-29
BZ,"Kanzhun Ltd ADR",15.17,0.13,+0.86%,15.42,14.98,4439500,2023-09-29
EQT,"Eqt Corp",40.58,0.14,+0.35%,40.76,40.21,4413400,2023-09-29
LU,"Lufax Holding Ltd ADR",1.06,0,0.00%,1.105,1.06,4412700,2023-09-29
HAYW,"Hayward Holdings Inc",14.1,-0.44,-3.03%,14.73,14.1,4409800,2023-09-29
CRM,"Salesforce Inc",202.78,-0.42,-0.21%,207.79,202.1,4405100,2023-09-29
AYX,"Alteryx Inc",37.69,0.59,+1.59%,38.69,37.47,4400900,2023-09-29
AMH,"American Homes 4 Rent",33.69,-0.17,-0.50%,34.39,33.14,4388700,2023-09-29
WY,"Weyerhaeuser Company",30.66,0.15,+0.49%,30.89,30.46,4370100,2023-09-29
EDR,"Endeavor Group Holdings Inc Cl A",19.9,0.04,+0.20%,20.1,19.73,4368100,2023-09-29
SU,"Suncor Energy Inc",34.38,-0.84,-2.39%,35.37,34.32,4361400,2023-09-29
WELL,"Welltower Inc",81.92,1.46,+1.81%,84.25,81.4,4353300,2023-09-29
ACI,"Albertsons Companies Inc Cl A",22.75,-0.12,-0.52%,22.96,22.47,4347500,2023-09-29
LTHM,"Livent Corp",18.41,0.3,+1.66%,18.77,18.28,4344000,2023-09-29
GT,"Goodyear Tire Rubber",12.43,0.26,+2.14%,12.54,12.18,4332600,2023-09-29
WW,"Weight Watchers International Inc",11.07,0.24,+2.22%,11.41,10.67,4332000,2023-09-29
FRO,"Frontline Plc",18.78,0.16,+0.86%,18.84,18.42,4329800,2023-09-29
JWN,Nordstrom,14.94,0.47,+3.25%,14.99,14.67,4325400,2023-09-29
VLO,"Valero Energy Corp",141.71,-5.47,-3.72%,147.3,141.09,4302300,2023-09-29
FL,"Footlocker Inc",17.35,0.39,+2.30%,17.74,17.16,4302100,2023-09-29
SNOW,"Snowflake Inc Cl A",152.77,1.65,+1.09%,155.17,152.46,4295500,2023-09-29
NOV,"Nov Inc",20.9,-0.33,-1.55%,21.32,20.83,4280400,2023-09-29
LAZR,"Luminar Technologies Inc",4.55,0.16,+3.64%,4.62,4.42,4246900,2023-09-29
DOW,"Dow Inc",51.56,0.63,+1.24%,51.77,51.19,4234700,2023-09-29
ON,"On Semiconductor",92.95,-1.1,-1.17%,95.67,92.76,4214800,2023-09-29
CNP,"Centerpoint Energy Inc",26.85,0.15,+0.56%,27.16,26.69,4214200,2023-09-29
GSK,"Gsk Plc ADR",36.25,-0.09,-0.25%,36.67,36.09,4209300,2023-09-29
NFLX,"Netflix Inc",377.6,1.24,+0.33%,382.58,375.35,4205200,2023-09-29
MRNA,"Moderna Inc",103.29,3.02,+3.01%,104.74,100.97,4202900,2023-09-29
CCI,"Crown Castle Inc",92.03,-0.05,-0.05%,93.84,91.5,4198300,2023-09-29
JCI,"Johnson Controls Intl",53.21,0.02,+0.04%,54.1,52.79,4196500,2023-09-29
GILD,"Gilead Sciences Inc",74.94,-0.48,-0.64%,75.75,74.58,4179900,2023-09-29
SHLS,"Shoals Technologies Group Cl A",18.25,-0.65,-3.44%,19.57,18.12,4175800,2023-09-29
QS,"Quantumscape Corp",6.69,0.15,+2.29%,6.9,6.58,4172700,2023-09-29
NET,"Cloudflare Inc Cl A",63.04,-0.05,-0.08%,65.58,62.76,4151000,2023-09-29
MOS,"Mosaic Company",35.6,-0.24,-0.67%,36.38,35.26,4128300,2023-09-29
AVTR,"Avantor Inc",21.08,0.29,+1.39%,21.42,21,4124500,2023-09-29
LQR,"Lqr House Inc",0.398,0.008,+2.05%,0.4648,0.381,4111200,2023-09-29
XEL,"XCEL Energy Inc",57.22,0.35,+0.62%,57.78,56.79,4079100,2023-09-29
WDAY,"Workday Inc",214.85,3.63,+1.72%,217.32,213.64,4066700,2023-09-29
ZI,"Zoominfo Technologies Inc Cl A",16.4,0.06,+0.37%,16.79,16.32,4061700,2023-09-29
BTU,"Peabody Energy Corp",25.99,0.33,+1.29%,26.26,25.39,4059900,2023-09-29
JOBY,"Joby Aviation Inc",6.45,0.04,+0.62%,6.69,6.37,4057900,2023-09-29
GFI,"Gold Fields Ltd ADR",10.86,-0.03,-0.28%,11.16,10.72,4038300,2023-09-29
GEN,"Gen Digital Inc",17.68,-0.12,-0.67%,18.08,17.61,4035500,2023-09-29
FITB,"Fifth Third Bancorp",25.33,0.3,+1.20%,25.67,25.18,4031400,2023-09-29
ASX,"Ase Industrial Holding Ltd ADR",7.52,0.03,+0.40%,7.61,7.49,4021600,2023-09-29
FOLD,"Amicus Therapeutics",12.16,0.3,+2.53%,12.55,12.07,4021100,2023-09-29
AR,"Antero Resources Corp",25.38,-0.07,-0.28%,25.75,25.22,4016900,2023-09-29
RCL,"Royal Caribbean Cruises Ltd",92.14,-1.99,-2.11%,95.96,91.15,3992200,2023-09-29
CFLT,"Confluent Inc Cl A",29.61,0.71,+2.46%,30.51,29.33,3974500,2023-09-29
SNY,"Sanofi-Aventis S.A. ADR",53.64,0.63,+1.19%,53.97,53.43,3953900,2023-09-29
ARMK,"Aramark Holdings Corp",34.7,-0.27,-0.77%,35.35,34.55,3946500,2023-09-29
MMAT,"Meta Materials Inc",0.2119,0.0119,+5.95%,0.22,0.21,3943400,2023-09-29
GE,"General Electric Company",110.55,-1.79,-1.59%,112.75,109.91,3929900,2023-09-29
CRK,"Comstock Resources",11.03,-0.04,-0.36%,11.29,10.94,3926800,2023-09-29
MODG,"Topgolf Callaway Brands Corp",13.84,0.31,+2.29%,14.13,13.6,3922700,2023-09-29
ES,"Eversource Energy",58.15,0.79,+1.38%,58.83,57.61,3915100,2023-09-29
CAG,"Conagra Brands Inc",27.42,-0.02,-0.07%,27.63,27.3,3914900,2023-09-29
MTCH,"Match Group Inc",39.17,-0.31,-0.77%,40.76,39.01,3913400,2023-09-29
DUK,"Duke Energy Corp",88.26,-0.42,-0.47%,89.96,87.63,3900500,2023-09-29
MUFG,"Mitsubishi Ufj Financial Group ADR",8.49,-0.23,-2.64%,8.55,8.45,3889800,2023-09-29
EC,"Ecopetrol S.A. ADR",11.58,-0.03,-0.26%,11.7,11.52,3885800,2023-09-29
ICPT,"Intercept Pharmaceuticals",18.54,-0.03,-0.16%,18.61,18.51,3885100,2023-09-29
CARR,"Carrier Global Corp",55.2,-0.74,-1.32%,56.5,54.93,3883700,2023-09-29
ALIT,"Alight Inc Cl A",7.09,-0.05,-0.70%,7.26,7.06,3880200,2023-09-29
STEM,"Stem Inc",4.24,0.06,+1.44%,4.42,4.16,3848800,2023-09-29
IOVA,"Iovance Biotherapeutics Inc",4.55,-0.01,-0.22%,4.66,4.49,3821400,2023-09-29
DDOG,"Datadog Inc Cl A",91.09,2.13,+2.39%,93.22,90.95,3797900,2023-09-29
SAN,"Banco Santander ADR",3.76,-0.03,-0.79%,3.83,3.75,3795000,2023-09-29
IAG,"Iamgold Corp",2.15,0.03,+1.42%,2.21,2.1,3789100,2023-09-29
UA,"Under Armour Inc Cl C",6.38,0.28,+4.59%,6.46,6.27,3783600,2023-09-29
INVH,"Invitation Homes Inc",31.69,-0.07,-0.22%,32.41,31.44,3776900,2023-09-29
CNQ,"Canadian Natural Resources",64.67,-1.46,-2.21%,66.65,64.56,3770000,2023-09-29
DG,"Dollar General Corp",105.8,0.43,+0.41%,107.51,105.39,3734900,2023-09-29
GRPN,"Groupon Cl A",15.32,1.97,+14.71%,15.78,13.66,3726300,2023-09-29
IQ,"Iqiyi Inc ADR",4.74,0.1,+2.16%,4.85,4.71,3718700,2023-09-29
AZN,"Astrazeneca Plc ADR",67.72,0.3,+0.44%,68.78,67.58,3691400,2023-09-29
SPR,"Spirit Aerosystems Holdings",16.14,-0.15,-0.92%,16.75,15.9,3686200,2023-09-29
TDOC,"Teladoc Health Inc",18.59,0.06,+0.32%,19.08,18.51,3685800,2023-09-29
ARCC,"Ares Capital Corp",19.47,-0.17,-0.87%,19.79,19.46,3685300,2023-09-29
GPK,"Graphic Packaging Holding Company",22.28,0.03,+0.13%,22.5,22.17,3682800,2023-09-29
PACB,"Pacific Biosciences",8.35,-0.01,-0.12%,8.52,8.21,3667200,2023-09-29
TXN,"Texas Instruments",159.01,-0.08,-0.05%,161.16,158.31,3664700,2023-09-29
TECK,"Teck Resources Ltd",43.09,0.59,+1.39%,43.33,42.63,3645200,2023-09-29
IMGN,"Immunogen Inc",15.87,-0.13,-0.81%,16.11,15.76,3639900,2023-09-29
PIXY,"Shiftpixy Inc",0.8128,0.0128,+1.60%,0.85,0.7155,3628000,2023-09-29
RAD,"Rite Aid Corp",0.448,-0.0142,-3.07%,0.4978,0.4411,3624300,2023-09-29
HTZ,"Hertz Global Holdings Inc",12.25,0.02,+0.16%,12.47,12.17,3618100,2023-09-29
CANO,"Cano Health Inc",0.2536,-0.0284,-10.07%,0.2983,0.2536,3610700,2023-09-29
BRFS,"Brf-Brasil Foods S.A. ADR",2.05,0.05,+2.50%,2.06,2,3610700,2023-09-29
BAX,"Baxter International Inc",37.74,0.2,+0.53%,37.93,37.35,3610000,2023-09-29
EW,"Edwards Lifesciences Corp",69.28,-0.68,-0.97%,70.44,69.11,3608700,2023-09-29
BRX,"Brixmor Property Group Inc",20.78,-0.11,-0.53%,21.24,20.59,3604000,2023-09-29
COMP,"Compass Inc Cl A",2.9,-0.15,-4.92%,3.17,2.84,3597100,2023-09-29
BILI,"Bilibili Inc ADR",13.77,0.25,+1.85%,14.02,13.63,3592100,2023-09-29
IBRX,"Immunitybio Inc",1.69,0.09,+5.63%,1.72,1.61,3586000,2023-09-29
AXP,"American Express Company",149.19,-1.04,-0.69%,151.69,148.67,3579400,2023-09-29
PAGP,"Plains Gp Holdings LP",16.12,-0.1,-0.62%,16.4,16.05,3568600,2023-09-29
ENVX,"Enovix Corp",12.55,-0.16,-1.26%,13.25,12.31,3568600,2023-09-29
BN,"Brookfield Corp",31.27,-0.81,-2.52%,32.5,31.18,3559200,2023-09-29
CNC,"Centene Corp",68.88,-0.38,-0.55%,69.66,68.76,3526900,2023-09-29
TPR,"Tapestry Inc",28.75,0.59,+2.10%,28.84,28.43,3511100,2023-09-29
ZVSA,"Zyversa Therapeutics Inc",0.1295,0.0045,+3.60%,0.1379,0.1251,3510700,2023-09-29
CTVA,"Corteva Inc",51.16,0.25,+0.49%,51.55,50.92,3507500,2023-09-29
GNW,"Genworth Financial Inc",5.86,-0.09,-1.51%,5.98,5.82,3503400,2023-09-29
HD,"Home Depot",302.16,-1.33,-0.44%,305.67,299.82,3502500,2023-09-29
MGM,"MGM Resorts International",36.76,0.12,+0.33%,37.34,36.59,3502300,2023-09-29
ETRN,"Equitrans Midstream Corp",9.37,-0.19,-1.99%,9.62,9.36,3426900,2023-09-29
LILM,"Lilium N.V.",0.7133,-0.0096,-1.33%,0.7598,0.71,3422700,2023-09-29
AEP,"American Electric Power Company",75.22,0.55,+0.74%,75.89,74.43,3419000,2023-09-29
AU,"Anglogold Ashanti Ltd ADR",15.8,-0.53,-3.25%,16.58,15.73,3416400,2023-09-29
PAAS,"Pan Amer Silver Corp",14.48,0.1,+0.70%,14.8,14.33,3415700,2023-09-29
PLD,"Prologis Inc",112.21,0.08,+0.07%,114.13,111.45,3414600,2023-09-29
KR,"Kroger Company",44.75,-0.34,-0.75%,45.28,44.53,3414500,2023-09-29
K,"Kellogg Company",59.51,0.31,+0.52%,59.66,59.17,3413700,2023-09-29
STNE,"Stoneco Ltd Cl A",10.67,0.03,+0.28%,11.02,10.56,3411200,2023-09-29
MLCO,"Melco Resorts & Entertainment ADR",9.89,0.58,+6.23%,10.1,9.46,3404300,2023-09-29
DDD,"3D Systems Corp",4.91,0.29,+6.28%,4.94,4.65,3399500,2023-09-29
GME,"Gamestop Corp",16.46,-0.38,-2.26%,17.26,16.4,3397000,2023-09-29
BK,"Bank of New York Mellon Corp",42.65,-0.03,-0.07%,43.37,42.5,3394700,2023-09-29
OUT,"Outfront Media Inc",10.1,0.11,+1.10%,10.3,10.06,3389000,2023-09-29
EBIX,"Ebix Inc",9.88,-0.33,-3.23%,10.51,9.12,3379500,2023-09-29
EOG,"Eog Resources",126.76,-2.71,-2.09%,129.7,126.54,3374600,2023-09-29
TIO,"Tingo Group Inc",1.025,-0.035,-3.30%,1.06,1.02,3368100,2023-09-29
MCD,"McDonald's Corp",263.44,-2.15,-0.81%,267.37,261.75,3367100,2023-09-29
IR,"Ingersoll Rand Inc",63.72,-0.55,-0.86%,65.14,63.43,3366700,2023-09-29
COMM,"Commscope Holding Company",3.36,0.25,+8.04%,3.4,3.14,3362000,2023-09-29
SMCI,"Super Micro Computer",274.22,4.84,+1.80%,283.63,273,3360900,2023-09-29
AGL,"Agilon Health Inc",17.76,-0.69,-3.74%,18.62,17.51,3360400,2023-09-29
ACGL,"Arch Capital Grp Ltd",79.71,-1.93,-2.36%,81.81,79.47,3340800,2023-09-29
TCOM,"Trip.com Group Ltd ADR",34.97,-0.12,-0.34%,35.8,34.93,3338200,2023-09-29
RIO,"Rio Tinto Plc ADR",63.64,-0.15,-0.24%,64.6,63.47,3334100,2023-09-29
MPC,"Marathon Petroleum Corp",151.34,-3.09,-2.00%,154.63,150.07,3331100,2023-09-29
HON,"Honeywell International Inc",184.74,-2.37,-1.27%,188.23,184.34,3330800,2023-09-29
MET,"Metlife Inc",62.91,0.01,+0.02%,63.62,62.71,3330500,2023-09-29
SRE,Sempra,68.03,0.26,+0.38%,68.73,67.44,3318600,2023-09-29
SNDL,"Sndl Inc",1.9,-0.02,-1.04%,1.96,1.8801,3314600,2023-09-29
MCHP,"Microchip Technology",78.05,-0.56,-0.71%,79.58,77.66,3311100,2023-09-29
CPRT,"Copart Inc",43.09,-0.34,-0.78%,43.88,42.96,3290800,2023-09-29
BALL,"Ball Corporation",49.78,1.61,+3.34%,50.35,49.5,3288200,2023-09-29
DHR,"Danaher Corp",248.1,0.91,+0.37%,249.56,247.01,3273600,2023-09-29
ETSY,"Etsy Inc",64.58,0.83,+1.30%,65.87,64.32,3272900,2023-09-29
ENLC,"Enlink Midstream Llc",12.22,-0.2,-1.61%,12.46,12.15,3260900,2023-09-29
OVV,"Ovintiv Inc",47.57,-1.63,-3.31%,49.24,47.49,3237800,2023-09-29
OGN,"Organon & Co.",17.36,0.28,+1.64%,17.48,17.14,3237000,2023-09-29
APA,"Apa Corp",41.1,-1.13,-2.68%,42.43,41.01,3231800,2023-09-29
SBSW,"Sibanye Gold Ltd ADR",6.17,-0.07,-1.12%,6.38,6.14,3228300,2023-09-29
CL,"Colgate-Palmolive Company",71.11,-0.2,-0.28%,71.79,70.72,3226300,2023-09-29
ALLY,"Ally Financial",26.68,0.05,+0.19%,27.16,26.6,3207500,2023-09-29
BE,"Bloom Energy Corp Cl A",13.26,0.03,+0.23%,13.71,13.11,3207200,2023-09-29
OPK,"Opko Health Inc",1.6,0.1,+6.67%,1.6,1.515,3186500,2023-09-29
BCE,"BCE Inc",38.17,-0.03,-0.08%,38.67,38.17,3182200,2023-09-29
ACN,"Accenture Plc",307.11,6.34,+2.11%,309.3,302.87,3171600,2023-09-29
BTI,"British American Tobacco Industries ADR",31.41,0.03,+0.10%,31.71,31.31,3168200,2023-09-29
BMBL,"Bumble Inc",14.92,0.44,+3.04%,15.55,14.72,3159800,2023-09-29
CRON,"Cronos Group Inc",2,-0.02,-0.99%,2.06,1.98,3148900,2023-09-29
GEHC,"Ge Healthcare Technologies Inc",68.04,-1.74,-2.49%,70.2,67.93,3146100,2023-09-29
HPP,"Hudson Pacific Properties",6.65,-0.07,-1.04%,6.9,6.52,3137000,2023-09-29
DXLG,"Destination XL Group",4.48,0.13,+2.99%,4.51,4.34,3135600,2023-09-29
DOCU,"Docusign Inc",42,-0.01,-0.02%,42.69,41.94,3129300,2023-09-29
JBL,"Jabil Circuit",126.89,1.94,+1.55%,127.35,124.8,3125200,2023-09-29
FAST,"Fastenal Company",54.64,-1.01,-1.81%,55.8,54.52,3125000,2023-09-29
TTI,"Tetra Technologies",6.38,-0.13,-2.00%,6.57,6.31,3105100,2023-09-29
TV,"Grupo Televisa S.A. ADR",3.05,-0.07,-2.24%,3.15,3.03,3065800,2023-09-29
RKLB,"Rocket Lab USA Inc",4.38,0.04,+0.92%,4.57,4.32,3058200,2023-09-29
MMM,"3M Company",93.62,0.36,+0.39%,94.34,93.35,3044000,2023-09-29
HLIT,"Harmonic Inc",9.63,0.18,+1.90%,9.69,9.48,3042200,2023-09-29
GLW,"Corning Inc",30.47,0.15,+0.49%,30.79,30.35,3036800,2023-09-29
SAND,"Sandstorm Gold Ltd",4.66,-0.07,-1.48%,4.83,4.55,3033800,2023-09-29
MA,"Mastercard Inc",395.91,-3.53,-0.88%,402.18,394.25,3032300,2023-09-29
PSTG,"Pure Storage Inc",35.62,0.51,+1.45%,35.83,35.37,3026100,2023-09-29
SLNO,"Soleno Therapeutics Inc",29.51,1.92,+6.96%,30.29,24.25,3020300,2023-09-29
APLD,"Applied Digital Corp",6.24,-0.09,-1.42%,6.58,6.1,3009500,2023-09-29
FNF,"Fidelity National Financial",41.3,-0.03,-0.07%,41.78,41.01,3007900,2023-09-29
UNH,"Unitedhealth Group Inc",504.19,-5.91,-1.16%,509.88,503.8,3006200,2023-09-29
WRK,"Westrock Company",35.8,-0.39,-1.08%,36.41,35.67,3005400,2023-09-29
CPB,"Campbell Soup Company",41.08,-0.18,-0.44%,41.45,40.92,3002800,2023-09-29
ACAD,"Acadia Pharmaceutica",20.84,-0.69,-3.20%,21.64,20.54,2991000,2023-09-29
PEG,"Public Service Enterprise Group Inc",56.91,0.25,+0.44%,57.33,56.41,2980200,2023-09-29
CYH,"Community Health Systems",2.9,0.15,+5.45%,3.02,2.82,2970900,2023-09-29
LLY,"Eli Lilly and Company",537.13,-7.32,-1.34%,546.09,532.2,2967700,2023-09-29
ICE,"Intercontinental Exchange",110.02,-0.8,-0.72%,111.44,109.26,2960800,2023-09-29
BUD,"Anheuser-Busch Inbev S.A. ADR",55.3,1.74,+3.25%,55.83,55.29,2942800,2023-09-29
GEVO,"Gevo Inc",1.19,0.02,+1.71%,1.19,1.14,2928200,2023-09-29
ZION,"Zions Bancorp",34.89,0.94,+2.77%,35.74,34.39,2926800,2023-09-29
AGEN,"Agenus Inc",1.13,0.01,+0.89%,1.15,1.09,2919100,2023-09-29
ELAN,"Elanco Animal Health Inc",11.24,0.05,+0.45%,11.38,11.21,2917100,2023-09-29
AFL,"Aflac Inc",76.75,-0.92,-1.18%,77.7,76.34,2916900,2023-09-29
AIG,"American International Group",60.6,-0.68,-1.11%,61.4,60.22,2913900,2023-09-29
EIX,"Edison International",63.29,-0.3,-0.47%,64.32,62.23,2901500,2023-09-29
EQH,"Axa Equitable Holdings Inc",28.39,0.29,+1.03%,28.75,28.25,2879000,2023-09-29
CEG,"Constellation Energy Corp",109.08,-0.24,-0.22%,110.71,108.64,2867600,2023-09-29
CTSH,"Cognizant Tech Sol",67.74,-0.1,-0.15%,68.41,67.49,2866200,2023-09-29
ALLO,"Allogene Therapeutics Inc",3.17,-0.24,-7.04%,3.47,3.08,2859800,2023-09-29
CBAY,"Cymabay Therapeutics",14.91,-0.66,-4.24%,15.91,14.88,2857000,2023-09-29
APH,"Amphenol Corp",83.99,-0.09,-0.11%,84.91,83.85,2854500,2023-09-29
DHT,"Dht Holdings",10.3,0.23,+2.28%,10.37,10.1,2846900,2023-09-29
PSX,"Phillips 66",120.15,-3.23,-2.62%,123.44,119.48,2841900,2023-09-29
CPRI,"Capri Holdings Ltd",52.61,-0.11,-0.21%,52.88,52.51,2841000,2023-09-29
BNS,"Bank of Nova Scotia",45.59,-0.36,-0.78%,46.24,45.42,2838600,2023-09-29
BBWI,"Bath & Body Works Inc",33.8,0.59,+1.78%,34.21,33.55,2837100,2023-09-29
UDR,"United Dominion Realty Trust",35.67,0,0.00%,36.35,35.37,2829400,2023-09-29
ZM,"Zoom Video Communications Cl A",69.94,1.61,+2.36%,71.08,69.12,2824900,2023-09-29
ABR,"Arbor Realty Trust",15.18,-0.05,-0.33%,15.44,15.15,2820900,2023-09-29
PENN,"Penn Entertainment Inc",22.95,-0.11,-0.48%,23.45,22.89,2811200,2023-09-29
TRP,"Tc Energy Corp",34.41,-0.19,-0.55%,34.99,34.36,2810300,2023-09-29
UPWK,"Upwork Inc",11.36,-0.14,-1.22%,11.78,11.23,2809900,2023-09-29
CMS,"Cms Energy Corp",53.11,0.41,+0.78%,53.65,52.81,2807400,2023-09-29
TMUS,"T-Mobile US",140.05,0.35,+0.25%,140.89,139.56,2804700,2023-09-29
CLX,"Clorox Company",131.06,2.44,+1.90%,131.58,127.29,2803000,2023-09-29
DRH,"Diamondrock Hospitality Company",8.03,-0.06,-0.74%,8.17,7.96,2798400,2023-09-29
ADBE,"Adobe Systems Inc",509.9,5.23,+1.04%,518.58,505.44,2796300,2023-09-29
CLOV,"Clover Health Investments Corp",1.08,-0.01,-0.92%,1.1104,1.07,2788400,2023-09-29
STM,"Stmicroelectronics N.V. ADR",43.16,0.45,+1.05%,43.89,42.98,2784600,2023-09-29
MQ,"Marqeta Inc Cl A",5.98,0.01,+0.17%,6.16,5.94,2782800,2023-09-29
PACW,"Pacwest Bancorp",7.91,0.15,+1.93%,8.12,7.79,2774000,2023-09-29
OTLY,"Oatly Group Ab ADR",0.8961,0.0161,+1.83%,0.9149,0.8741,2770500,2023-09-29
HUN,"Huntsman Corp",24.4,0.2,+0.83%,24.73,24.31,2764600,2023-09-29
RPRX,"Royalty Pharma Plc Cl A",27.14,0.36,+1.34%,27.37,26.6,2763500,2023-09-29
VIPS,"Vipshop Holdings Ltd ADR",16.01,0.09,+0.57%,16.32,15.95,2748200,2023-09-29
LBTYK,"Liberty Global Ord C",18.56,0.19,+1.03%,18.73,18.42,2748000,2023-09-29
DASH,"Doordash Inc Cl A",79.47,1.67,+2.15%,80.92,78.65,2747000,2023-09-29
RITM,"Rithm Capital Corp",9.29,0.03,+0.32%,9.4,9.28,2745500,2023-09-29
MAC,"Macerich Company",10.91,-0.44,-3.88%,11.6,10.65,2739100,2023-09-29
TRMB,"Trimble Navigation",53.86,1.45,+2.77%,55.54,53.79,2734100,2023-09-29
SPLK,"Splunk Inc",146.25,-0.26,-0.18%,146.85,146.15,2730400,2023-09-29
